code,name,expires_unix,png_path
FAC-0040,イムス三郷クリニック,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0040.png
FAC-0041,横浜旭中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0041.png
FAC-0042,横浜新都市脳神経外科病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0042.png
FAC-0043,東戸塚記念病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0043.png
FAC-0044,イムス横浜狩場脳神経外科病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0044.png
FAC-0045,イムス横浜東戸塚総合リハビリテーション病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0045.png
FAC-0046,イムス横浜旭リハビリテーション病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0046.png
FAC-0047,北小田原病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0047.png
FAC-0048,江田記念病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0048.png
FAC-0049,相原病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0049.png
FAC-0050,相模原ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0050.png
FAC-0051,ケアピリカ横浜港南,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0051.png
FAC-0052,イムス横浜国際看護専門学校,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0052.png
FAC-0053,新松戸中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0053.png
FAC-0054,行徳総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0054.png
FAC-0055,イムス佐原リハビリテーション病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0055.png
FAC-0056,我孫子ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0056.png
FAC-0057,IMS Me-Life クリニック 千葉,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0057.png
FAC-0058,イムス太田中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0058.png
FAC-0059,イムスやぶづかロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0059.png
FAC-0060,イムス明理会仙台総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0060.png
FAC-0061,西仙台病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0061.png
FAC-0062,利府仙台ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0062.png
FAC-0063,仙台ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0063.png
FAC-0064,仙台青葉ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0064.png
FAC-0065,丸森ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0065.png
FAC-0066,IMS Me-Life クリニック 仙台,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0066.png
FAC-0067,山形ロイヤル病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0067.png
FAC-0068,おさなぎ,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0068.png
FAC-0069,イムス札幌消化器中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0069.png
FAC-0070,イムス札幌リハビリテーション病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0070.png
FAC-0071,道南ロイヤル病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0071.png
FAC-0072,道南森ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0072.png
FAC-0073,アイムス旭山公園,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0073.png
FAC-0074,ハレホアロハ・ナーシングホーム,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0074.png
